Week,Day,,,,,,,,,,,,,,,,,
3,Mon,mkan849,,,,,,,,,,,,,,,,
3,Tue,ikop695,jzha975,fbab920,jliu243,jwan553,ache934,,,,,,,,,,,
3,Thu,xli638,agho149,skwe902,lfu313,yhu311,crob873,gkar828,,,,,,,,,,
3,Fri,jji887,ych872,sjeb067,,,,,,,,,,,,,,
4,Tue,yche993,fbab920,hko828,jliu243,nloh108,aguo201,dche610,kmat038,jzhu255,qli914,sliu482,,,,,,
4,Thu,sten187,gkar828,iong692,agho149,kfur006,yyu482,lfu313,sbim777,ldao475,ylu306,,,,,,,
4,Fri,qhe497,hye873,txia202,cpuk542,swan387,yzhe906,,,,,,,,,,,
5,Mon,yche993,,,,,,,,,,,,,,,,
5,Tue,jliu243,hko828,nli763,ikop695,nlum005,xsha028,xyan289,blin207,jwan553,,,,,,,,
5,Thu,sten187,ldao475,lfu313,json007,xzha593,,,,,,,,,,,,
5,Fri,adha594,ngoe369,xzhu662,xli444,hye873,ptan499,ych872,dma312,,,,,,,,,
6,Tue,xyan289,,,,,,,,,,,,,,,,
6,Thu,agho149,sten187,kfur006,hfen962,,,,,,,,,,,,,
6,Fri,zche376,swan387,ngoe369,ptan499,lzen402,tip421,sjeb067,slei065,ngoe369,mli779,dma312,,,,,,
7,Tue,jliu243,kmat038,ikop695,dche610,,,,,,,,,,,,,
7,Thu,tip421,hsco139,xzha593,ylee942,,,,,,,,,,,,,
8,Tue,nloh108,nli763,xren451,jzha975,,,,,,,,,,,,,
8,Thu,wshi995,ldao475,agho149,yhu311,xzha593,xli295,hzha564,,,,,,,,,,
8,Fri,jzhu255,rlei932,yil125,cpuk542,,,,,,,,,,,,,
9,Tue,qli914,xsha028,xyan289,blin207,jxu384,zzha415,jzha975,,,,,,,,,,
9,Fri,hsco139,wche650,aguo201,jzhu986,zche376,ynie053,hzha564,jwu807,xyan859,jche526,,,,,,,
10,Thu,tli611,cli776,ylu306,jxu384,yhu311,arey017,mzhu843,swou555,wlau390,mwon892,wshi995,xli638,crob873,hfen962,nsun209,yyu482,xyan859
10,Fri,yzhe906,yyan365,zzha415,sjeb067,jwu807,slei065,wany268,yren424,jzhu986,yil125,wche650,jji887,jche526,xzhu662,,,
11,Thu,json007,qhe497,xli638,ache706,ylee942,cli776,swou555,jxu384,iong692,wche650,nsun209,yren424,mwon892,tli611,yhu311,arey017,
12,Tue,ache934,txia202,yyan365,Nlum005,,,,,,,,,,,,,
13,Thu,mzhu843,zpan184,nlum005,nlum005,xcui868,zpan184,ache706,wche650,nloh108,,,,,,,,
